TYPE,ID,COPIES,BIN,X,Y,Z,LX,LY,LZ,ROTATION
BIN,0,1,0,0,0,0,240,240,80,
ITEM,0,1,0,0,0,0,80,80,60,0
ITEM,1,1,0,80,0,0,80,80,60,0
ITEM,2,1,0,160,0,0,80,80,60,0
ITEM,3,1,0,0,80,0,80,80,60,0
ITEM,4,1,0,80,80,0,80,80,60,0
ITEM,5,1,0,0,160,0,80,80,60,0
