TYPE,ID,COPIES,BIN,X,Y,Z,LX,LY,LZ,ROTATION
BIN,0,1,0,0,0,0,240,240,80,
ITEM,0,1,0,0,0,0,80,139,60,0
ITEM,1,1,0,80,0,0,80,80,60,0
ITEM,2,1,0,0,139,0,80,80,60,0
