box,intended_x,intended_y,intended_z,actual_x,actual_y,actual_z,error_dist,orientation_error_deg
red,0.385,0.241,0.031,0.393,0.239,0.031,8.04,0.001
green,0.385,0.172,0.031,0.382,0.167,0.031,5.21,0.0
blue,0.426,0.241,0.091,0.431,0.238,0.091,5.85,0.008
yellow,0.426,0.172,0.091,0.429,0.169,0.091,4.22,0.025
purple,0.357,0.241,0.091,0.367,0.237,0.091,10.55,0.004
teal,0.357,0.172,0.091,0.363,0.173,0.091,6.43,0.021
