x오차: -0.00737  y오차: -0.00981  z오차: -0.15833  거리: 0.15880
x오차: -0.00745  y오차: -0.00975  z오차: -0.15667  거리: 0.15715
x오차: -0.00753  y오차: -0.00968  z오차: -0.15503  거리: 0.15551
x오차: -0.00762  y오차: -0.00962  z오차: -0.15340  거리: 0.15389
x오차: -0.00770  y오차: -0.00955  z오차: -0.15178  거리: 0.15228
x오차: -0.00778  y오차: -0.00949  z오차: -0.15018  거리: 0.15068
x오차: -0.00785  y오차: -0.00942  z오차: -0.14859  거리: 0.14910
x오차: -0.00792  y오차: -0.00935  z오차: -0.14701  거리: 0.14752
x오차: -0.00798  y오차: -0.00928  z오차: -0.14545  거리: 0.14596
x오차: -0.00804  y오차: -0.00922  z오차: -0.14389  거리: 0.14441
x오차: -0.00809  y오차: -0.00916  z오차: -0.14235  거리: 0.14287
x오차: -0.00814  y오차: -0.00909  z오차: -0.14081  거리: 0.14134
x오차: -0.00818  y오차: -0.00903  z오차: -0.13929  거리: 0.13982
x오차: -0.00821  y오차: -0.00897  z오차: -0.13778  거리: 0.13832
x오차: -0.00823  y오차: -0.00891  z오차: -0.13629  거리: 0.13682
x오차: -0.00826  y오차: -0.00885  z오차: -0.13480  거리: 0.13534
x오차: -0.00827  y오차: -0.00879  z오차: -0.13332  거리: 0.13387
x오차: -0.00828  y오차: -0.00873  z오차: -0.13186  거리: 0.13241
x오차: -0.00829  y오차: -0.00868  z오차: -0.13041  거리: 0.13096
x오차: -0.00829  y오차: -0.00862  z오차: -0.12897  거리: 0.12952
x오차: -0.00828  y오차: -0.00857  z오차: -0.12754  거리: 0.12809
x오차: -0.00827  y오차: -0.00851  z오차: -0.12612  거리: 0.12668
x오차: -0.00826  y오차: -0.00846  z오차: -0.12471  거리: 0.12527
x오차: -0.00824  y오차: -0.00841  z오차: -0.12332  거리: 0.12388
x오차: -0.00821  y오차: -0.00836  z오차: -0.12193  거리: 0.12249
x오차: -0.00818  y오차: -0.00831  z오차: -0.12056  거리: 0.12112
x오차: -0.00815  y오차: -0.00826  z오차: -0.11920  거리: 0.11976
x오차: -0.00811  y오차: -0.00821  z오차: -0.11785  거리: 0.11841
x오차: -0.00807  y오차: -0.00816  z오차: -0.11651  거리: 0.11707
x오차: -0.00803  y오차: -0.00811  z오차: -0.11518  거리: 0.11574
x오차: -0.00798  y오차: -0.00807  z오차: -0.11386  거리: 0.11443
x오차: -0.00793  y오차: -0.00802  z오차: -0.11256  거리: 0.11312
x오차: -0.00787  y오차: -0.00798  z오차: -0.11126  거리: 0.11183
x오차: -0.00781  y오차: -0.00793  z오차: -0.10998  거리: 0.11054
x오차: -0.00775  y오차: -0.00789  z오차: -0.10871  거리: 0.10927
x오차: -0.00769  y오차: -0.00785  z오차: -0.10745  거리: 0.10801
x오차: -0.00762  y오차: -0.00781  z오차: -0.10620  거리: 0.10676
x오차: -0.00755  y오차: -0.00777  z오차: -0.10496  거리: 0.10552
x오차: -0.00748  y오차: -0.00772  z오차: -0.10373  거리: 0.10429
x오차: -0.00740  y오차: -0.00768  z오차: -0.10252  거리: 0.10307
x오차: -0.00732  y오차: -0.00765  z오차: -0.10131  거리: 0.10187
x오차: -0.00724  y오차: -0.00761  z오차: -0.10012  거리: 0.10067
x오차: -0.00716  y오차: -0.00757  z오차: -0.09894  거리: 0.09949
x오차: -0.00707  y오차: -0.00753  z오차: -0.09777  거리: 0.09831
x오차: -0.00699  y오차: -0.00749  z오차: -0.09661  거리: 0.09715
x오차: -0.00690  y오차: -0.00746  z오차: -0.09546  거리: 0.09600
x오차: -0.00681  y오차: -0.00742  z오차: -0.09432  거리: 0.09486
x오차: -0.00672  y오차: -0.00739  z오차: -0.09320  거리: 0.09373
x오차: -0.00662  y오차: -0.00735  z오차: -0.09208  거리: 0.09261
x오차: -0.00653  y오차: -0.00732  z오차: -0.09098  거리: 0.09151
x오차: -0.00643  y오차: -0.00728  z오차: -0.08989  거리: 0.09041
x오차: -0.00633  y오차: -0.00725  z오차: -0.08880  거리: 0.08932
x오차: -0.00623  y오차: -0.00722  z오차: -0.08773  거리: 0.08825
x오차: -0.00613  y오차: -0.00719  z오차: -0.08667  거리: 0.08719
x오차: -0.00603  y오차: -0.00715  z오차: -0.08563  거리: 0.08614
x오차: -0.00593  y오차: -0.00712  z오차: -0.08459  거리: 0.08509
x오차: -0.00582  y오차: -0.00709  z오차: -0.08356  거리: 0.08406
x오차: -0.00572  y오차: -0.00706  z오차: -0.08255  거리: 0.08305
x오차: -0.00562  y오차: -0.00703  z오차: -0.08154  거리: 0.08204
x오차: -0.00551  y오차: -0.00700  z오차: -0.08055  거리: 0.08104
x오차: -0.00541  y오차: -0.00697  z오차: -0.07957  거리: 0.08006
x오차: -0.00530  y오차: -0.00694  z오차: -0.07860  거리: 0.07908
x오차: -0.00520  y오차: -0.00691  z오차: -0.07764  거리: 0.07812
x오차: -0.00509  y오차: -0.00688  z오차: -0.07669  거리: 0.07716
x오차: -0.00498  y오차: -0.00685  z오차: -0.07575  거리: 0.07622
x오차: -0.00488  y오차: -0.00683  z오차: -0.07482  거리: 0.07529
x오차: -0.00477  y오차: -0.00680  z오차: -0.07390  거리: 0.07437
