TYPE,ID,COPIES,BIN,X,Y,Z,LX,LY,LZ,ROTATION
BIN,0,1,0,0,0,0,160,150,61,
ITEM,0,1,0,0,0,0,69,69,60,0
ITEM,1,1,0,0,69,0,69,69,60,0
ITEM,2,1,0,69,0,0,69,69,60,0
ITEM,3,1,0,69,69,0,69,69,60,0
